case_id,corpus_id,human_label,uncertain,task,stratum,N,n,pi,year,venue_abbr
NCV-0036,97795,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2022,SSCI
NCV-0037,69262,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2023,GECCO
NCV-0038,97757,dl_native,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2023,SSCI
NCV-0039,45162,dl_native,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2024,ESWA
NCV-0040,46042,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2024,ESWA
NCV-0041,70037,neuroevolution,,role,Core EC conferences|enriched,332,50,0.1506024096385542,2021,GECCO
NCV-0042,36378,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2021,ESWA
NCV-0043,97817,dl_native,,role,SSCI (mixed conf.)|enriched,88,50,0.5681818181818182,2022,SSCI
NCV-0044,101261,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2023,SWEVC
NCV-0045,59719,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2023,EVOINT
NCV-0046,97802,dl_native,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2022,SSCI
NCV-0047,44537,dl_native,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2024,ESWA
NCV-0048,98210,dl_native,,role,SSCI (mixed conf.)|enriched,88,50,0.5681818181818182,2021,SSCI
NCV-0049,71079,neuroevolution,,role,Core EC conferences|enriched,332,50,0.1506024096385542,2022,ICSI
NCV-0050,8800,dl_native,,role,Mixed journals|enriched,2156,50,0.023191094619666,2021,ASOC
NCV-0051,21829,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2024,CEC
NCV-0053,83020,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2022,INS
NCV-0055,97869,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2022,SSCI
NCV-0056,59539,dl_native,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2024,EVOINT
NCV-0057,97766,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2022,SSCI
NCV-0058,21685,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2024,CEC
NCV-0059,68958,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2023,GECCO
NCV-0060,98089,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2021,SSCI
NCV-0061,98348,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2021,SSCI
NCV-0062,98358,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2021,SSCI
NCV-0065,69743,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2022,GECCO
NCV-0066,104122,hybrid,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2025,TEVC
NCV-0067,21361,hybrid,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2025,CEC
NCV-0070,97860,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2022,SSCI
NCV-0071,69608,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2022,GECCO
NCV-0072,100383,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2025,SWEVC
NCV-0074,92364,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2024,PPSN
NCV-0075,71142,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2022,ICSI
NCV-0076,41173,dl_native,,role,Mixed journals|enriched,2156,50,0.023191094619666,2023,ESWA
NCV-0077,39747,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2022,ESWA
NCV-0078,104625,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2022,TEVC
NCV-0079,98188,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2021,SSCI
NCV-0082,97732,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2023,SSCI
NCV-0084,97574,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2023,SSCI
NCV-0085,23824,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2024,ECJ
NCV-0087,97950,dl_native,,role,SSCI (mixed conf.)|enriched,88,50,0.5681818181818182,2022,SSCI
NCV-0088,59576,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2023,EVOINT
NCV-0090,40921,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2023,ESWA
NCV-0091,56852,other,,role,Core EC conferences|enriched,332,50,0.1506024096385542,2025,EUROGP
NCV-0092,97905,dl_native,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2022,SSCI
NCV-0093,9739,neuroevolution,,role,Mixed journals|enriched,2156,50,0.023191094619666,2021,ASOC
NCV-0095,56877,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2023,EUROGP
NCV-0096,69916,neuroevolution,,role,Core EC conferences|enriched,332,50,0.1506024096385542,2022,GECCO
NCV-0099,24256,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2025,EMO
NCV-0100,86000,dl_native,,role,Mixed journals|enriched,2156,50,0.023191094619666,2023,INS
NCV-0101,21972,neuroevolution,,role,Core EC conferences|enriched,332,50,0.1506024096385542,2022,CEC
NCV-0102,98013,dl_native,,role,SSCI (mixed conf.)|enriched,88,50,0.5681818181818182,2021,SSCI
NCV-0103,97975,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2022,SSCI
NCV-0104,98339,dl_native,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2021,SSCI
NCV-0105,47357,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2025,ESWA
NCV-0106,47814,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2025,ESWA
NCV-0107,9303,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2021,ASOC
NCV-0108,21703,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2024,CEC
NCV-0109,69132,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2023,GECCO
NCV-0110,22043,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2022,CEC
NCV-0111,68246,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2025,GECCO
NCV-0112,57757,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2023,EVOAPP
NCV-0113,97691,dl_native,,role,SSCI (mixed conf.)|enriched,88,50,0.5681818181818182,2023,SSCI
NCV-0114,59404,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2025,EVOINT
NCV-0115,98223,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2021,SSCI
NCV-0116,98329,dl_native,,role,SSCI (mixed conf.)|enriched,88,50,0.5681818181818182,2021,SSCI
NCV-0117,97935,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2022,SSCI
NCV-0118,97621,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2023,SSCI
NCV-0119,97870,neuroevolution,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2022,SSCI
NCV-0120,101060,neuroevolution,,role,Core EC journals|enriched,194,50,0.2577319587628865,2024,SWEVC
NCV-0121,48892,dl_native,,role,Mixed journals|enriched,2156,50,0.023191094619666,2025,ESWA
NCV-0122,80,hybrid,,role,Core EC journals|enriched,194,50,0.2577319587628865,2023,ACMTELO
NCV-0123,97575,dl_native,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2023,SSCI
NCV-0124,98053,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2021,SSCI
NCV-0125,69363,hybrid,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2023,GECCO
NCV-0126,97894,dl_native,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2022,SSCI
NCV-0129,98276,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2021,SSCI
NCV-0130,9350,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2021,ASOC
NCV-0131,104323,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2025,TEVC
NCV-0133,59720,dl_native,,role,Core EC journals|enriched,194,50,0.2577319587628865,2023,EVOINT
NCV-0136,45855,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2024,ESWA
NCV-0137,59183,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2024,EVOINT
NCV-0138,8628,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2022,ASOC
NCV-0139,10342,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2024,ASOC
NCV-0140,98252,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2021,SSCI
NCV-0141,21586,neuroevolution,,role,Core EC conferences|enriched,332,50,0.1506024096385542,2024,CEC
NCV-0142,67899,hybrid,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2025,GECCO
NCV-0143,23840,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2022,ECJ
NCV-0144,69205,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2023,GECCO
NCV-0146,97636,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2023,SSCI
NCV-0151,69786,neuroevolution,,role,Core EC conferences|enriched,332,50,0.1506024096385542,2022,GECCO
NCV-0153,23848,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2022,ECJ
NCV-0154,97685,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2023,SSCI
NCV-0155,22237,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2021,CEC
NCV-0157,7163,dl_native,,role,Mixed journals|enriched,2156,50,0.023191094619666,2023,ASOC
NCV-0158,46473,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2024,ESWA
NCV-0159,42452,dl_native,,role,Mixed journals|enriched,2156,50,0.023191094619666,2023,ESWA
NCV-0160,49925,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2025,ESWA
NCV-0161,97639,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2023,SSCI
NCV-0163,86561,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2023,INS
NCV-0165,101361,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2023,SWEVC
NCV-0166,97871,neuroevolution,,role,SSCI (mixed conf.)|enriched,88,50,0.5681818181818182,2022,SSCI
NCV-0167,59970,dl_native,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2021,EVOINT
NCV-0168,97762,dl_native,,role,SSCI (mixed conf.)|enriched,88,50,0.5681818181818182,2023,SSCI
NCV-0169,104633,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2023,TEVC
NCV-0170,104666,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2023,TEVC
NCV-0171,70399,other,,role,Core EC journals|enriched,194,50,0.2577319587628865,2023,GPEM
NCV-0172,97896,dl_native,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2022,SSCI
NCV-0173,6957,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2023,ASOC
NCV-0174,97717,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2023,SSCI
NCV-0176,12115,hybrid,,role,Mixed journals|enriched,2156,50,0.023191094619666,2024,ASOC
NCV-0177,98298,neuroevolution,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2021,SSCI
NCV-0178,97810,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2022,SSCI
NCV-0179,103091,dl_native,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2025,TETCI
NCV-0180,98106,dl_native,,role,SSCI (mixed conf.)|enriched,88,50,0.5681818181818182,2021,SSCI
NCV-0181,100975,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2024,SWEVC
NCV-0182,97930,dl_native,,role,SSCI (mixed conf.)|enriched,88,50,0.5681818181818182,2022,SSCI
NCV-0183,67867,other,,role,Core EC conferences|enriched,332,50,0.1506024096385542,2025,GECCO
NCV-0184,101773,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2021,SWEVC
NCV-0185,8331,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2022,ASOC
NCV-0189,97814,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2022,SSCI
NCV-0191,46435,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2024,ESWA
NCV-0192,98002,neuroevolution,,role,SSCI (mixed conf.)|enriched,88,50,0.5681818181818182,2022,SSCI
NCV-0193,49095,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2025,ESWA
NCV-0194,59577,hybrid,,role,Core EC journals|enriched,194,50,0.2577319587628865,2024,EVOINT
NCV-0195,59917,dl_native,,role,Core EC journals|enriched,194,50,0.2577319587628865,2021,EVOINT
NCV-0197,104792,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2022,TEVC
NCV-0198,59630,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2024,EVOINT
NCV-0199,97874,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2022,SSCI
NCV-0200,100121,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2024,SWARMINT
NCV-0201,100792,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2025,SWEVC
NCV-0202,56868,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2024,EUROGP
NCV-0203,98093,dl_native,,role,SSCI (mixed conf.)|enriched,88,50,0.5681818181818182,2021,SSCI
NCV-0204,68528,hybrid,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2024,GECCO
NCV-0205,47191,dl_native,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2025,ESWA
NCV-0206,104431,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2025,TEVC
NCV-0207,22360,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2021,CEC
NCV-0208,21964,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2022,CEC
NCV-0209,98031,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2021,SSCI
NCV-0210,100117,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2024,SWARMINT
NCV-0211,86384,dl_native,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2023,INS
NCV-0212,97550,dl_native,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2023,SSCI
NCV-0213,69621,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2022,GECCO
NCV-0215,21647,neuroevolution,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2024,CEC
NCV-0216,60062,dl_native,,role,Core EC journals|enriched,194,50,0.2577319587628865,2021,EVOINT
NCV-0217,7941,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2022,ASOC
NCV-0219,70001,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2021,GECCO
NCV-0220,87578,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2025,INS
NCV-0221,97904,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2022,SSCI
NCV-0222,70247,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2021,GECCO
NCV-0223,104570,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2024,TEVC
NCV-0224,69995,neuroevolution,,role,Core EC conferences|enriched,332,50,0.1506024096385542,2021,GECCO
NCV-0225,69279,neuroevolution,,role,Core EC conferences|enriched,332,50,0.1506024096385542,2023,GECCO
NCV-0226,97850,neuroevolution,,role,SSCI (mixed conf.)|enriched,88,50,0.5681818181818182,2022,SSCI
NCV-0227,68487,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2024,GECCO
NCV-0228,69987,hybrid,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2021,GECCO
NCV-0229,21936,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2023,CEC
NCV-0230,103142,dl_native,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2024,TETCI
NCV-0231,70437,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2022,GPEM
NCV-0232,104215,hybrid,,role,Core EC journals|enriched,194,50,0.2577319587628865,2025,TEVC
NCV-0234,59541,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2024,EVOINT
NCV-0236,68752,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2024,GECCO
NCV-0237,97484,dl_native,,role,SSCI (mixed conf.)|enriched,88,50,0.5681818181818182,2023,SSCI
NCV-0238,104004,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2025,TEVC
NCV-0239,45435,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2024,ESWA
NCV-0240,98068,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2021,SSCI
NCV-0241,7698,dl_native,,role,Mixed journals|enriched,2156,50,0.023191094619666,2022,ASOC
NCV-0242,97670,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2023,SSCI
NCV-0243,100612,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2025,SWEVC
NCV-0244,104750,hybrid,,role,Core EC journals|enriched,194,50,0.2577319587628865,2023,TEVC
NCV-0246,42862,other,,role,Mixed journals|enriched,2156,50,0.023191094619666,2023,ESWA
NCV-0248,71186,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2022,ICSI
NCV-0249,68051,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2025,GECCO
NCV-0250,59983,dl_native,,role,Core EC journals|enriched,194,50,0.2577319587628865,2021,EVOINT
NCV-0251,102953,dl_native,,role,Mixed journals|enriched,2156,50,0.023191094619666,2024,TETCI
NCV-0253,87551,dl_native,,role,Mixed journals|enriched,2156,50,0.023191094619666,2025,INS
NCV-0254,59668,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2022,EVOINT
NCV-0256,67776,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2025,GECCO
NCV-0257,7115,hybrid,,role,Mixed journals|enriched,2156,50,0.023191094619666,2023,ASOC
NCV-0259,98014,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2021,SSCI
NCV-0260,91029,neuroevolution,,role,Core EC journals|enriched,194,50,0.2577319587628865,2025,MEMETIC
NCV-0261,97959,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2022,SSCI
NCV-0262,69487,other,,role,Core EC conferences|enriched,332,50,0.1506024096385542,2022,GECCO
NCV-0265,24289,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2023,EMO
NCV-0266,98079,dl_native,,role,SSCI (mixed conf.)|enriched,88,50,0.5681818181818182,2021,SSCI
NCV-0267,70418,hybrid,,role,Core EC journals|enriched,194,50,0.2577319587628865,2023,GPEM
NCV-0268,97846,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2022,SSCI
NCV-0270,101645,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2021,SWEVC
NCV-0271,44629,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2024,ESWA
NCV-0272,98319,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2021,SSCI
NCV-0273,104656,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2023,TEVC
NCV-0274,104528,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2024,TEVC
NCV-0275,90218,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2022,JOH
NCV-0277,8708,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2021,ASOC
NCV-0278,98060,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2021,SSCI
NCV-0280,59896,neuroevolution,,role,Core EC journals|enriched,194,50,0.2577319587628865,2022,EVOINT
NCV-0281,98024,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2021,SSCI
NCV-0282,71160,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2022,ICSI
NCV-0283,40171,dl_native,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2022,ESWA
NCV-0284,97761,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2023,SSCI
NCV-0285,104228,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2025,TEVC
NCV-0286,69254,hybrid,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2023,GECCO
NCV-0287,87974,dl_native,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2025,INS
NCV-0288,47315,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2025,ESWA
NCV-0289,104679,hybrid,,role,Core EC journals|enriched,194,50,0.2577319587628865,2023,TEVC
NCV-0291,8279,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2022,ASOC
NCV-0294,48494,dl_native,,role,Mixed journals|enriched,2156,50,0.023191094619666,2025,ESWA
NCV-0296,59736,dl_native,,role,Core EC journals|enriched,194,50,0.2577319587628865,2023,EVOINT
NCV-0298,116135,dl_native,,role,Mixed journals|enriched,2156,50,0.023191094619666,2025,SOFTCOMP
NCV-0299,11630,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2024,ASOC
NCV-0300,68046,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2025,GECCO
NCV-0301,82281,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2022,INS
NCV-0302,97902,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2022,SSCI
NCV-0303,69684,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2022,GECCO
NCV-0306,59281,neuroevolution,,role,Core EC journals|enriched,194,50,0.2577319587628865,2025,EVOINT
NCV-0307,22272,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2021,CEC
NCV-0308,70072,neuroevolution,,role,Core EC conferences|enriched,332,50,0.1506024096385542,2021,GECCO
NCV-0309,36771,dl_native,,role,Mixed journals|enriched,2156,50,0.023191094619666,2021,ESWA
NCV-0310,104150,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2025,TEVC
NCV-0312,70297,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2021,GECCO
NCV-0313,69592,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2022,GECCO
NCV-0314,98206,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2021,SSCI
NCV-0315,67897,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2025,GECCO
NCV-0317,59519,neuroevolution,,role,Core EC journals|enriched,194,50,0.2577319587628865,2024,EVOINT
NCV-0318,100986,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2024,SWEVC
NCV-0320,102792,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2025,TETCI
NCV-0321,58716,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2021,EVOCOP
NCV-0322,59414,neuroevolution,,role,Core EC journals|enriched,194,50,0.2577319587628865,2024,EVOINT
NCV-0323,97648,neuroevolution,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2023,SSCI
NCV-0325,98183,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2021,SSCI
NCV-0328,81992,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2022,INS
NCV-0329,68184,dl_native,,role,Core EC conferences|enriched,332,50,0.1506024096385542,2025,GECCO
NCV-0330,104783,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2023,TEVC
NCV-0331,91095,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2022,MEMETIC
NCV-0332,101360,hybrid,,role,Core EC journals|enriched,194,50,0.2577319587628865,2024,SWEVC
NCV-0333,67989,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2025,GECCO
NCV-0334,84231,other,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2024,INS
NCV-0335,41598,dl_native,,role,Mixed journals|ordinary,18089,150,0.0082923323566808,2023,ESWA
NCV-0336,98320,dl_native,,role,SSCI (mixed conf.)|enriched,88,50,0.5681818181818182,2021,SSCI
NCV-0338,59612,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2023,EVOINT
NCV-0339,59704,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2023,EVOINT
NCV-0340,59846,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2022,EVOINT
NCV-0341,101013,other,,role,Core EC journals|ordinary,2716,150,0.0552282768777614,2025,SWEVC
NCV-0343,97783,other,,role,SSCI (mixed conf.)|ordinary,605,150,0.2479338842975206,2022,SSCI
NCV-0345,92473,other,,role,Core EC conferences|ordinary,3953,150,0.0379458639008348,2022,PPSN
